52765831	52976828	158111875	158169626	Chr13	Chr4	+
50112180	50153553	38713788	38911011	Chr10	Chr10	+
17567468	17883048	32045179	31805098	Chr15	Chr15	-
103855182	104108543	84487899	84764779	Chr15	Chr6	+
147517802	148074216	128475474	128659757	Chr5	Chr5	+
163144968	163462122	125397831	125330918	Chr9	Chr9	-
84892291	85176966	8238006	8170623	Chr13	Chr13	-
12434277	12849434	4074963	3949271	Chr1	Chr1	-
68252502	69914238	106127836	105308229	Chr17	Chr16	-
99240262	99513231	31072174	31358982	Chr13	Chr13	+
158846323	159065859	146343794	146566281	Chr1	Chr1	+
148373910	149231460	130667093	130339236	Chr5	Chr5	-
120252290	120718770	106994636	106296769	Chr1	Chr1	-
66930339	67785482	51417438	52314230	Chr11	Chr11	+
4585345	5260944	31661203	32451937	Chr13	Chr13	+
118837807	119686570	97408271	98507152	Chr6	Chr6	+
30012768	31213762	27580077	26702311	Chr9	Chr9	-
18034308	18232735	72412868	71517341	Chr15	Chr6	-
18515349	18795580	73663581	74427537	Chr15	Chr6	+
166125612	167009574	131694010	131045270	Chr11	Chr11	-
6073523	9004686	157988881	157417314	Chr7	Chr4	-
39018407	39983315	28389808	27509956	Chr11	Chr11	-
52094579	53120379	37033582	38056518	Chr2	Chr2	+
49193365	50645863	73421902	72641279	Chr15	Chr6	-
154658212	155221905	128162910	129161917	Chr6	Chr6	+
158540239	161232909	135836148	136882586	Chr16	Chr16	+
212142778	213270784	68557525	71002969	Chr16	Chr17	+
177096836	177562982	104590299	103135949	Chr12	Chr17	-
54745814	57102231	38672877	39959584	Chr2	Chr2	+
9802805	10923973	12025669	13016020	Chr8	Chr8	+
53604669	56129874	29840113	30971309	Chr17	Chr17	+
2330575	3337760	9568014	8768906	Chr1	Chr1	-
6375307	7193931	14360656	15317909	Chr3	Chr3	+
10738017	11795808	9061486	8116276	Chr5	Chr5	-
7101581	7905073	5737138	6250078	Chr10	Chr10	+
107251576	110665840	92776453	89534214	Chr10	Chr10	-
160927108	162667254	139048281	139941475	Chr11	Chr11	+
161834658	162914891	153706874	154169334	Chr9	Chr9	+
141525891	145049674	44721959	42698232	Chr17	Chr16	-
22980662	24120281	14967932	15660277	Chr6	Chr6	+
149502132	149919802	135410447	135089885	Chr1	Chr1	-
206237399	208003446	44336124	42128071	Chr16	Chr17	-
34356155	36272592	157502801	159118699	Chr16	Chr12	+
30497678	31139713	20559046	19878231	Chr6	Chr6	-
90725185	94815855	39868709	41684761	Chr12	Chr17	+
106697933	114805008	81277259	77447174	Chr4	Chr4	-
170003166	171069356	132881046	131549866	Chr14	Chr14	-
170067872	173546838	88172329	84967700	Chr15	Chr6	-
36918387	39650182	162177196	159281380	Chr16	Chr12	-
79346446	82016434	68860625	66399363	Chr9	Chr9	-
58911593	61944044	68431310	71368586	Chr16	Chr12	+
7180243	8685347	49524731	53057218	Chr13	Chr13	+
144495890	148870387	124009691	119432072	Chr6	Chr6	-
99736896	102155108	43091783	47453246	Chr13	Chr13	+
195084500	196047162	154188664	154915827	Chr9	Chr9	+
220641865	221543229	1328827	379100	Chr4	Chr7	-
93641794	97284017	74597547	77360738	Chr15	Chr6	+
41492139	43112822	11994501	12603887	Chr6	Chr6	+
51451413	53175772	29759230	28413459	Chr17	Chr17	-
119645561	123130862	137123016	134791746	Chr16	Chr12	-
130706368	132307556	121725191	120100636	Chr1	Chr1	-
94542889	98681996	80454008	84302109	Chr17	Chr16	+
18796480	22646279	25251373	21853094	Chr5	Chr5	-
139750810	142495379	137220327	139460771	Chr13	Chr13	+
82728764	89816163	111268004	106731921	Chr12	Chr16	-
