140840074	140955987	143264210	143308685	Chr9	Chr9	+
90481782	90594596	106768954	106713191	Chr16	Chr17	-
52765831	52976828	159492860	159552473	Chr13	Chr4	+
50112180	50153553	38429429	38632911	Chr10	Chr10	+
170010963	170339085	161328427	161223247	Chr12	Chr16	-
205283250	205477742	511509	358267	Chr17	Chr16	-
124460092	124840090	123958572	124165641	Chr1	Chr1	+
163144968	163462122	124253948	124130965	Chr9	Chr9	-
17567468	17883048	30078416	29790944	Chr15	Chr15	-
7769338	8151601	2347832	2115071	Chr11	Chr11	-
99240262	99513231	30916611	31288642	Chr13	Chr13	+
68252502	69914238	105399326	104588717	Chr17	Chr16	-
120252290	120718770	114291609	113578929	Chr1	Chr1	-
149827698	150277194	105523453	104890758	Chr7	Chr7	-
49653135	50191043	28371851	28722664	Chr8	Chr8	+
78283595	78963187	62002847	62859049	Chr9	Chr9	+
154658212	155221905	136496449	137705171	Chr6	Chr6	+
6073523	9004686	159462916	158970793	Chr7	Chr4	-
66930339	67785482	49788470	50458882	Chr11	Chr11	+
135517232	136322677	120161765	120564700	Chr1	Chr11	+
172110116	172660542	163075793	162723009	Chr12	Chr16	-
31334255	33196337	14146697	14844192	Chr2	Chr2	+
170271825	170781656	112088389	112624943	Chr9	Chr9	+
4585345	5260944	31674731	32570248	Chr13	Chr13	+
177096836	177562982	130602563	132202470	Chr12	Chr17	+
75035253	78685977	38148049	36479400	Chr6	Chr6	-
126527797	127341145	131510417	132540206	Chr16	Chr15	+
7101581	7905073	5188727	5620608	Chr10	Chr10	+
56049336	57990485	44656910	46220971	Chr8	Chr8	+
10738017	11795808	8733362	7887694	Chr5	Chr5	-
179055854	179527547	153786795	154088780	Chr3	Chr3	+
125772785	128280352	242557487	245509233	Chr15	Chr15	+
18034308	18795580	80550285	82706454	Chr15	Chr6	+
165960000	167098821	140328618	140987973	Chr10	Chr10	+
186000141	188302042	14495877	13349910	Chr17	Chr16	-
4172533	4688443	159693061	160031194	Chr7	Chr4	+
107251576	110665840	93061270	89795352	Chr10	Chr10	-
206237399	208003446	46913652	45279123	Chr16	Chr17	-
9096602	12041575	8455478	10795926	Chr7	Chr7	+
90725185	94815855	43392326	45234191	Chr12	Chr17	+
105383452	107094629	115755511	116914251	Chr9	Chr9	+
79346446	82016434	66503910	64137053	Chr9	Chr9	-
170067872	173546838	94803927	91702028	Chr15	Chr6	-
106697933	114805008	80663437	76713166	Chr4	Chr4	-
7201116	8685350	49448918	53531288	Chr13	Chr13	+
58911593	61943142	187729561	191232057	Chr16	Chr15	+
36918387	39513481	153226637	150494773	Chr16	Chr15	-
17346767	19337119	33552068	31401646	Chr10	Chr10	-
83646847	85176966	9079104	8055685	Chr13	Chr13	-
99736896	102155108	42968063	46977629	Chr13	Chr13	+
142504005	145212501	257764472	259529948	Chr15	Chr15	+
220641865	221543229	1499201	394737	Chr4	Chr7	-
65066629	66877085	40802763	42606679	Chr17	Chr17	+
144495890	148870387	132502545	128147843	Chr6	Chr6	-
50594532	54580670	28308477	25384789	Chr8	Chr8	-
82728764	89816163	109684686	105576339	Chr12	Chr16	-
181211115	181627220	154975841	155285795	Chr3	Chr3	+
120775775	124185209	114507842	120461598	Chr1	Chr1	+
215577941	217762492	87841237	93417166	Chr16	Chr17	+
162747034	165823336	142466739	141035016	Chr10	Chr10	-
34198988	40989005	64286241	68468670	Chr13	Chr13	+
130484	1912578	6592124	5280204	Chr12	Chr12	-
211606311	213033163	148255084	149379303	Chr4	Chr4	+
33440640	39772791	10895238	13779515	Chr2	Chr2	+
39176642	44704117	16261587	12575740	Chr10	Chr10	-
112041156	116406123	102177320	96293716	Chr6	Chr6	-
45442143	49722087	38043062	34077372	Chr10	Chr10	-
18796480	22646279	24377890	20369179	Chr5	Chr5	-
176148990	177957358	269364719	267663826	Chr15	Chr15	-
117029008	122294480	123629169	126216302	Chr7	Chr7	+
16420364	21368446	16566110	12573695	Chr3	Chr3	-
23037378	28252454	36401508	41334545	Chr5	Chr5	+
41337867	46011614	153331223	156181714	Chr16	Chr15	+
185836756	187025131	148939560	150146154	Chr5	Chr5	+
213787211	215561311	87542391	81479579	Chr16	Chr17	-
150234307	154012162	136032638	133440745	Chr6	Chr6	-
134433171	138764778	113570302	116827941	Chr3	Chr3	+
70138346	79529550	96356649	103858923	Chr17	Chr16	+
65109325	70449855	19115797	15286360	Chr15	Chr15	-
163428620	169691075	27287019	30988872	Chr17	Chr16	+
61296557	67148153	46334891	51515868	Chr14	Chr14	+
