188441955	188456116	280679	330011	30	Hdeb2414s0968	Chr17	+
11817410	11833598	439	97675	30	Hdeb2414s0216	Chr5	-
95209330	95268691	118089	299135	30	Hdeb2414s1174	Chr1	+
62912193	62966559	32	282599	30	Hdeb2414s0992	Chr14	+
29403955	29529038	202073	323157	30	Hdeb2414s1116	Chr12	+
18508342	18704339	58903	247063	30	Hdeb2414s0596	Chr3	-
128610061	128753942	414008	708954	30	Hdeb2414s0504	Chr6	+
186641564	186801158	60990	492442	30	Hdeb2414s0729	Chr14	-
33878761	34021639	114433	352102	30	Hdeb2414s1050	Chr1	-
42476619	42767352	167325	279582	30	Hdeb2414s1220	Chr9	-
76189088	76584756	389816	570062	30	Hdeb2414s0637	Chr5	+
145406526	145532397	4602034	4880170	30	Hdeb2414s0075	Chr15	+
4013	320215	10696	605013	30	Hdeb2414s0416	Chr10	+
102580439	102643727	249839	362801	30	Hdeb2414s0669	Chr14	+
7248447	7287554	29615	100836	30	Hdeb2414s1070	Chr12	+
155452389	156157546	58185	366733	30	Hdeb2414s0901	Chr10	+
65465188	65700301	283	282076	30	Hdeb2414s1019	Chr14	+
195475016	196216003	41293	407147	30	Hdeb2414s0853	Chr4	-
24382799	24874442	106679	337232	30	Hdeb2414s1035	Chr17	+
35168135	35755662	16549	573094	30	Hdeb2414s0085	Chr3	+
70259205	70998942	75	398251	30	Hdeb2414s0778	Chr1	+
16909334	17341486	3198	390072	30	Hdeb2414s0899	Chr12	-
119945032	119947594	183196751	183213451	30	Hdeb2414s0008	Chr13	+
161054250	161508328	129580	455591	30	Hdeb2414s0687	Chr5	+
65458638	65506380	77564	299177	30	Hdeb2414s0931	Chr4	-
113868034	113984397	47270	278048	30	Hdeb2414s1008	Chr1	-
51734546	52528706	114067	758351	30	Hdeb2414s0315	Chr14	+
185288919	185522835	47011	331589	30	Hdeb2414s1097	Chr10	-
48535893	48677584	11587	136331	30	Hdeb2414s0689	Chr15	+
2087572	2186155	16895	93821	30	Hdeb2414s0925	Chr4	+
